WARNING: src/mem.v:15: $readmemh(testset_nop.hex): Not enough words in the file for the requested range [0:4095].
tick 000 : rst=1 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 001 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 002 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 003 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 004 : rst=0 DECODE OPC=S_LUI    SGN_EN=0 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 005 : rst=0 DECODE OPC=I_MOVi   SGN_EN=0 IMM_EN=1 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 006 : rst=0 DECODE OPC=S_LUI    SGN_EN=0 IMM_EN=1 IMM_VAL=fff IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 007 : rst=0 DECODE OPC=I_MOVi   SGN_EN=0 IMM_EN=1 IMM_VAL=fff IMMSR_VAL=00 CC=RA TGT_GP=1 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 008 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=7ff IMMSR_VAL=00 CC=RA TGT_GP=2 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 009 : rst=0 DECODE OPC=IS_MOVis SGN_EN=1 IMM_EN=1 IMM_VAL=fff IMMSR_VAL=00 CC=RA TGT_GP=3 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 010 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 011 : rst=0 DECODE OPC=NOP      SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=0 TGT_SR=0 SRC_GP=0 SRC_SR=0
tick 012 : rst=0 DECODE OPC=R_MOV    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=4 TGT_SR=0 SRC_GP=2 SRC_SR=0
tick 013 : rst=0 DECODE OPC=R_MOV    SGN_EN=0 IMM_EN=0 IMM_VAL=000 IMMSR_VAL=00 CC=RA TGT_GP=5 TGT_SR=0 SRC_GP=3 SRC_SR=0
